timestamp,cpu,temperature,humidity,pressure
2023-05-14 17:28:47,52.095,36.28876495361328,24.767539978027344,0
timestamp,cpu,temperature,humidity,pressure
2023-05-14 17:28:47,52.095,36.28876495361328,24.767539978027344,0
2023-05-14 17:30:19,53.556,37.13239288330078,23.965620040893555,1024.829345703125
2023-05-14 17:32:06,54.043,37.94086837768555,23.348047256469727,1024.81005859375
2023-05-14 17:32:34,53.069,38.11662292480469,23.246654510498047,1024.77587890625
2023-05-14 17:53:09,55.991,40.04993438720703,23.541614532470703,1024.6650390625
2023-05-14 17:53:48,57.939,40.1026611328125,23.486309051513672,1024.676025390625
2023-05-14 17:53:49,56.965,40.22568893432617,23.470947265625,1024.663818359375
2023-05-14 17:54:04,55.991,40.20811462402344,23.086885452270508,1024.642578125
2023-05-14 17:54:04,56.965,40.1729621887207,23.188278198242188,1024.642822265625
2023-05-14 18:50:58,42.842,30.0318660736084,29.30254364013672,0
2023-05-14 18:50:58,43.816,30.067018508911133,30.921749114990234,1024.556640625
2023-05-14 18:50:58,43.816,30.014291763305664,30.774269104003906,1024.569091796875
2023-05-14 21:35:01,49.66,34.513633728027344,27.139507293701172,0
2023-05-14 21:35:55,51.121,35.058475494384766,26.773880004882812,1023.679443359375
2023-05-14 21:35:55,50.147,35.1639289855957,26.54958724975586,1023.676025390625
2023-05-14 21:35:56,49.173,35.0233268737793,26.681705474853516,1023.689453125
2023-05-14 21:35:56,50.147,35.076053619384766,27.004316329956055,1023.68798828125
